6311;bCKkQI2x/VXhmkfR4Z0jxg==;72988235089408.00000;13995800.000000000
8412;CvikP0TzJX3e+e1Bs5VrHQ==;72990262342144.00000;4152200.000000000
8887;Y0JlEkN6NVqFdnuuLOJK/g==;72992286714624.00000;983400.000000000
8279;7PEsQrFX1aeX+2m/7R6LBw==;72994293741824.00000;989300.000000000
8489;dFvjA5ke3owyJ1lLjFr0Ew==;72996309838848.00000;7002400.000000000
9673;6jABLE3hfeLc1XEztPGNzQ==;72998366456576.00000;2975000.000000000
6203;f60qFfAoL5o6xgJeVDSa/Q==;73000379245312.00000;976900.000000000
4376;hivY9kmGIT9CkhVg1pRTiA==;73002411993600.00000;0.000000000
2403;XC4kC77D+neF0muxAbjjGA==;73004430845696.00000;1022900.000000000
3073;d0GAC63KLUxhZsofv5JJtA==;73006440239616.00000;513000.000000000
2536;E6QrhnhTYhmRmmpX94nV5Q==;73009936368128.00000;999100.000000000
4109;rx7OfMwJ9VQOG8IJbs/ylQ==;73011944391680.00000;0.000000000
2096;vxz4ZRosI36T9Qkwh25umw==;73013963662592.00000;5000600.000000000
8080;jTMsyj5ZEqO7ltkv1P6HjQ==;73015998936320.00000;2025700.000000000
1111;6/4/MatJ5kecknjEAM2zLw==;73018017073920.00000;3005400.000000000
1961;LgSB5m5btGBZFKn9mGjFBw==;73020036502784.00000;1001400.000000000
8467;MYiB1xoxD+IVwyu/HkRitg==;73022046819840.00000;974200.000000000
7917;ALnGD1ib/l5tC/K2VxnGwg==;73024055650048.00000;1008300.000000000
7265;mmkiKVyxpdTKS2YdesUdZw==;73026065416704.00000;4007300.000000000
2001;q7qaq+n7BjPHGb6eILWA3A==;73028074311680.00000;1007200.000000000
5965;8T5AWLZ44ahTrOrLNkwuJw==;73031327450880.00000;989800.000000000
1526;drCjGa12AAaEAkNHv7x5VQ==;73033339708928.00000;0.000000000
3698;cY5V1X4AsEYCBOcb0hscNA==;73035346459392.00000;1019700.000000000
5086;MG3ZVemdXfrktzNUd/jxsQ==;73037369172224.00000;1001100.000000000
6059;fBtzdzUff5MIoR5agdZSww==;73039385274880.00000;1009000.000000000
