9820;81904.35614;81903.76318
7676;81906.08837;81905.77637
3760;81908.04184;81907.78661
6862;81910.08425;81909.81410
1991;81912.13285;81911.82583
1292;81914.28323;81913.83587
7838;81916.12469;81915.85193
5907;81918.17965;81917.87465
8802;81920.11911;81919.89424
3668;81922.27026;81921.92076
9592;81924.31539;81923.93302
4852;81926.26222;81925.95552
4572;81928.20940;81927.97571
6526;81930.26264;81929.98848
1179;81932.40861;81932.00723
8120;81934.35252;81934.02211
6339;81936.29922;81936.04418
3570;81938.34660;81938.06265
2008;81940.40050;81940.08349
5062;81942.34818;81942.09451
6299;81968.35078;81967.66126
1717;81969.98973;81969.68072
8818;81971.92517;81971.68820
5556;81973.91769;81973.69432
6515;81976.03051;81975.71809
1276;81977.97583;81977.73040
8425;81980.03062;81979.75342
4574;81982.21758;81981.77132
6619;81984.01722;81983.78520
4603;81986.08467;81985.80182
4657;81988.11467;81987.81367
4069;81990.16582;81989.82437
9468;81992.21240;81991.85172
6819;81994.25564;81993.88118
3578;81996.21190;81995.90853
7016;81998.25207;81997.91779
9744;82000.30039;81999.93334
4982;82002.24551;82001.95026
7391;82004.19914;82003.97601
8281;82006.34720;82006.00164
4946;82018.73606;82018.22038
6661;82020.58058;82020.23259
1449;82022.52147;82022.25360
1272;82024.57648;82024.26260
8207;82026.61457;82026.28239
9839;82028.67474;82028.29911
6783;82030.61074;82030.32542
7317;82032.56303;82032.33049
1252;82034.81559;82034.35617
2258;82036.75493;82036.37320
8682;82038.70271;82038.39158
4058;82040.64555;82040.39930
8115;82042.80456;82042.41906
2103;82044.74268;82044.43109
7842;82046.69314;82046.44443
5019;82048.73938;82048.48116
7511;82050.88340;82050.49868
9646;82052.94018;82052.56707
6591;82054.87994;82054.59022
7579;82056.93342;82056.60927
6793;82069.11971;82068.52407
6968;82070.96475;82070.56458
9691;82072.90790;82072.58987
8662;82074.84782;82074.60292
9770;82076.90140;82076.62157
3602;82078.94373;82078.64493
2264;82080.90083;82080.65652
8764;82083.55478;82082.67937
1030;82084.98610;82084.70315
5066;82086.94960;82086.71324
4887;82088.98651;82088.73650
9282;82091.04606;82090.77133
7262;82093.08124;82092.79688
5658;82095.12355;82094.81015
6576;82097.07996;82096.82968
6130;82099.22613;82098.85254
2951;82101.16760;82100.87538
5373;82103.11895;82102.88796
4346;82105.25748;82104.90014
8366;82107.20472;82106.92726
4411;82121.03787;82120.42365
1137;82122.78169;82122.43671
9453;82124.82012;82124.45272
4015;82126.77414;82126.46040
7960;82128.71509;82128.47811
9299;82130.76474;82130.49514
3104;82132.74800;82132.52901
4542;82134.85549;82134.55011
6912;82136.91144;82136.56211
