3843;75390656931328.00000;75390142327808.00000
6862;75392508476928.00000;75392158452480.00000
2958;75394444715520.00000;75394177151232.00000
9977;75396601957888.00000;75396184470784.00000
9187;75398440687872.00000;75398193687552.00000
4454;75400494371840.00000;75400205047040.00000
6627;75402435272704.00000;75402214618880.00000
1877;75404482992896.00000;75404226400512.00000
4796;75406541465600.00000;75406256426240.00000
5509;75408474998272.00000;75408271058176.00000
4403;75412262964224.00000;75411649648384.00000
5182;75414011776768.00000;75413653196288.00000
2842;75416051733248.00000;75415669737472.00000
1409;75417904873984.00000;75417678799360.00000
2878;75420040640512.00000;75419682904832.00000
7461;75421889629184.00000;75421689234944.00000
2197;75423943604992.00000;75423696723456.00000
8418;75425985479936.00000;75425701288704.00000
3839;75428028770816.00000;75427706694912.00000
3414;75429985804032.00000;75429712040192.00000
4878;75433766462720.00000;75432959560960.00000
2802;75435305148416.00000;75434974637056.00000
4139;75437249177344.00000;75436988427776.00000
4117;75439296994560.00000;75439005660672.00000
5462;75441450429184.00000;75441021037312.00000
3885;75443288931840.00000;75443032948480.00000
1894;75445391192576.00000;75445043456512.00000
4114;75447393630720.00000;75447056583936.00000
6585;75449333963776.00000;75449062921472.00000
1805;75451398128896.00000;75451071965696.00000
6652;75455068282880.00000;75454657077504.00000
3958;75456917455872.00000;75456670420992.00000
9889;75459058050816.00000;75458685592832.00000
7486;75461011026432.00000;75460699272704.00000
7496;75462951335424.00000;75462705951488.00000
6548;75465000317184.00000;75464716476928.00000
2471;75466945283328.00000;75466721010176.00000
8462;75469001040640.00000;75468735045888.00000
1496;75471042803200.00000;75470747285248.00000
9948;75472986214144.00000;75472766539776.00000
9792;75476572260352.00000;75476166890752.00000
1880;75478414769408.00000;75478172502272.00000
4977;75480472226304.00000;75480189863680.00000
5126;75482612402176.00000;75482201056512.00000
7962;75485175031296.00000;75484206182656.00000
7943;75486421517824.00000;75486222882304.00000
2571;75488462489856.00000;75488230263552.00000
8296;75490601730304.00000;75490235803648.00000
4819;75492751308800.00000;75492246168576.00000
3518;75494593692160.00000;75494255089408.00000
7238;75497973732352.00000;75497561438464.00000
8816;75499825180160.00000;75499565499904.00000
7868;75501765283328.00000;75501567687936.00000
2557;75503975923968.00000;75503574674432.00000
7374;75505859607040.00000;75505589896704.00000
8940;75507804835584.00000;75507596699136.00000
5012;75509955989504.00000;75509607294720.00000
3747;75511913229312.00000;75511622715392.00000
3985;75513954699520.00000;75513636212480.00000
2537;75515892696576.00000;75515651126016.00000
2875;75519787184640.00000;75519273609728.00000
7370;75521525999872.00000;75521285532160.00000
8299;75523578357504.00000;75523297318656.00000
8299;75525523824128.00000;75525307789568.00000
9557;75527670254592.00000;75527317489920.00000
4912;75529522953472.00000;75529324954880.00000
2953;75531675841536.00000;75531366688768.00000
7356;75533608224768.00000;75533379912960.00000
5486;75535657534464.00000;75535386300672.00000
4112;75537706273280.00000;75537392128768.00000
8957;75541388904704.00000;75540777221888.00000
8596;75543030718720.00000;75542781783552.00000
8937;75545084344576.00000;75544799136256.00000
1441;75547126471168.00000;75546815476992.00000
6559;75549071721216.00000;75548826905600.00000
3586;75551325370624.00000;75550834261504.00000
7555;75553074554368.00000;75552841142016.00000
6410;75555114778368.00000;75554844781312.00000
7350;75557673104896.00000;75556852095744.00000
4188;75559111684608.00000;75558870391040.00000
3648;75562894319104.00000;75562280237824.00000
5796;75564637012992.00000;75564295336192.00000
1018;75566786894080.00000;75566310933248.00000
4504;75568636284416.00000;75568323960576.00000
7733;75570779095040.00000;75570342494976.00000
4149;75572623240192.00000;75572361152000.00000
9194;75574590085376.00000;75574371560704.00000
3260;75576726966784.00000;75576381087488.00000
2218;75578679192064.00000;75578388756736.00000
6882;75580720455424.00000;75580394535424.00000
1612;75584297968384.00000;75583886859008.00000
2802;75586149685760.00000;75585889934592.00000
6561;75588190086144.00000;75587892149248.00000
2171;75590137885184.00000;75589904961792.00000
2693;75592184211712.00000;75591915214336.00000
7774;75594138000128.00000;75593932943616.00000
9392;75596173655808.00000;75595942241536.00000
7079;75598328735232.00000;75597960979456.00000
3346;75600271751424.00000;75599967874304.00000
7382;75602223827968.00000;75601977507840.00000
83638810109675;75623012234496.00000;75622592227072.00000
80025678311476;75624957059584.00000;75624600602624.00000
13571633756775;75626808609792.00000;75626615577344.00000
22123421181038;75628844329216.00000;75628625319424.00000
45965925683681;75631720566016.00000;75630641457920.00000
79833725225509;75632842747648.00000;75632646431488.00000
33290846732262;75634891504128.00000;75634653305088.00000
16370172541513;75636931124480.00000;75636661818112.00000
48020178814581;75638879029504.00000;75638665140480.00000
94454132147687;75641030094848.00000;75640674694912.00000
13479204089366;75645028409600.00000;75644409117696.00000
69091119763848;75646665946368.00000;75646423059712.00000
87972954476928;75648820288256.00000;75648430877440.00000
73100451895052;75650654374400.00000;75650444783104.00000
89033593873139;75652805663744.00000;75652457382400.00000
50988826256499;75654959576832.00000;75654474228224.00000
90735841682260;75656709723136.00000;75656488903424.00000
33737860078307;75658744015360.00000;75658498454784.00000
61101606551542;75660799018496.00000;75660510095616.00000
72428222629010;75662737809920.00000;75662523542528.00000
42918871455071;75666329043968.00000;75665915433472.00000
71479798263079;75668271750400.00000;75667923444224.00000
75409593432052;75670123142912.00000;75669928559104.00000
96067889139016;75672171213056.00000;75671937034496.00000
43935136133695;75674211227648.00000;75673944993024.00000
86439118331315;75676256788480.00000;75675949588736.00000
84885570238467;75678202360832.00000;75677959534592.00000
10038640669454;75680257104128.00000;75679971109888.00000
13486194165342;75682195422464.00000;75681975413760.00000
